rating,title,text
5.0,Can Do It From Home,Usually I either receive an Amazon gift card as a birthday and/or Christmas gift or I purchase them at a store. Then it's very easy to add the amount to my gift card balance using my cell phone. Well I was stuck inside for several days due to a blizzard and I bought quite a few books then due to a travel ban I could not go to the store to purchase a gift card.<br />So after checking my Gift Card Balance I saw that I had overindulged and it needed to be topped up. One of the options under Manage Your Balance was to Reload Your Balance. I had never used this option but decided to try it. It was so easy to do and I didn't have to leave the comfort of my home. I will be using it again in the future.
5.0,Love it!,Love my card!!
5.0,Easy to use,It’s easy to use and very convenient. I would definitely consider refill more in the future
3.0,Easy to use,Very easy to use. I wish I knew about it earlier
5.0,Perfect gift sent I a lovely container,Sent in a lovely container
5.0,Perfect gift.,Makes great gift.
5.0,great value,first time purchasing a gift card through Amazon. Received in a timely manner for the correct amount.
5.0,Five Stars,good
5.0,Five Stars,great gift
5.0,Dad Loved It!!,Not much to review. Perfect fit for Dad's birthday.
5.0,+-+- Good,+-+-<br /><br />Good
4.0,50%,"I ordered an Amazon gift card and two Fandango gift cards 12/20 and two day shipping. Amazon card arrived on time with accurate tracking information to the minute. The Fandango cards still not here. Tracking last shows they were in Oakland (2 hours from my house) 12/23 and then they apparently evaporated. So Amazon card purchase 5 stars, Fandango cards no stars."
5.0,Five Stars,Great
5.0,Five Stars,Neat way to give card
5.0,Five Stars,All the above gifts were for Christmas
5.0,Makes Shopping Easier,My gift was well received. I would use this again👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻
5.0,Easy to purchase,Good value
5.0,Five Stars,"I used this so I could use multiple payment sources, will definitely use it again."
4.0,Easy,Easy to reload and use
5.0,Great Gift,Amazon Gift Card is always a great gift!
5.0,Five Stars,The tin made it extra special. Thank you
5.0,Five Stars,its just a gift card
5.0,Five Stars,It's just a gift card.
5.0,Five Stars,It's just a gift card.
5.0,Five Stars,It's a gift card...
5.0,Five Stars,It's a gift card!
3.0,Three Stars,its a gift card
5.0,Easy to use!,Love adding a custom amount. Great for a monthly Amazon budget
5.0,Gift Cards,"I bought a gift card for myself,  with another gift card I received so I do not need to register the card and then remove it."
5.0,Everyone loves them,What can you say about a gift card. Everyone loves them
5.0,Five Stars,perfect for small gifts or gift cards
2.0,Such a hassle to use!,"There are so many issues with this card! They have many restrictions. It is so annoying trying to check your balance online. I kept having to do the verification over and it kept giving error messages. In order to not be bothered with the cards, I added the remaining balance to my Amazon account."
4.0,Pretty Enough Box and Bow for Any Occasion,"It's a $25 gift card. I bought it to take advantage of an Alexa/Echo offer. The box and bow are attractive but they were in the garbage in five minutes and a few minutes after that the credit balance was in my account. Sending the pretty box and bow was nice and only other option was a white gift box with bow. Why I couldn't have been emailed the $25 code I don't know but I actually feel a little guilty for Amazon wrapping this up nicely and shipping it overnight. I'd have been happy with a code to copy, paste and redeem. Now all Amazon had to do, as promised, is email my $5 voucher for buying this $25 card."
5.0,Buying Money With Money,"I mean, how do you review adding money to your Amazon gift card balance? I received a prepaid Visa card as a rebate when I bought a new battery for my car. That card wasn't reloadable and it's slightly embarrassing to use a prepaid card with $1.78 or whatever left on it. So I used the prepaid card to add the whole balance into my Amazon account. The process, other than having to take my glasses off to read the card number, went flawlessly. The money was in my Amazon account in five minutes (and spent soon after!). No hassle, no problems. Flawless."
5.0,Its easy,Its a reload. Simple easy to spend. Go ahead try it.
5.0,"Easy, convenient and accurate.",A simple and helpful way to add to my Amazon account balance.
5.0,"It's there, and easy to use.",All that it is supposed to be.  Quite handy.
5.0,A Little Money In Your Pocket,"Choose your PIN, register it, and have another debit card."
5.0,Christmas,$10 per week is my new way to save for Christmas.  Gives me $500 to spend at Christmas
5.0,Great,Great way to save for Christmas
5.0,Best Gift Idea,I needed a last-minute gift for the holidays and this was a perfect choice. It came in a beautiful box and they loved it.
5.0,Perfect gift at any time,Person I gave it to at Christmas already had things waiting in her cart!!!
5.0,Good sandwiches,A little gift for my son
5.0,Convenient and fast - allows single purchases from multiple funding sources,"For the way I purchase this gift card reload feature is a major convenience. I have multiple sources of cards, and sometimes want to use two to three to make a single purchase. The ability to use a gift card comes in handy in those situations, so being able to reload meets my needs perfectly.<br /><br />The way I use it for multiple cards is to reload from one card, then another until I have distributed the funding sources. It literally takes seconds per reload, and when I am using three or more cards, it can all be done in a minute or two. Then when I need to make a purchase the entire amount is waiting. This is much faster and more efficient than purchasing multiple gift cards.<br /><br />You can also have your gift card balance automatically reloaded from a single funding source when the balance hits a low mark. I have not used that feature, but can see how convenient it would be for some folks who use gift cards the way I do."
5.0,Easy and convenient,easy to apply to balance
5.0,worked,"I'm soo glad my card worked, I ordered it without looking at the reviews (it is a gift card, I didin't think anything can go wrong) and had a freak out moment when I saw all the negative reviews of empty cards or cards where you couldn't read the code. I scratched as gently as I could and the code was readable and had $50 on it. Phew!"
5.0,when you can't think of what to give.,"Another gift card.  This one also received the expected cheerful response from the recipient, but what more can you expect.  It worked."
5.0,"You can't review a gift card, it either works or it doesn't","It's a gift card.  How can you really review this?  I can say that the person receiving it enjoyed having it, but I can't say there really is a criteria for a review"
5.0,Five Stars,I love the idea of reloading my gift card. It great.
5.0,Sooo cute!,Presents well!!
5.0,Great package,Perfect
5.0,Well received by recipient,Bought as a gift for last Christmas. Recipient was very pleased.
5.0,Cutest gift card box ever.,This box is cute as heck. Who doesn't want an Amazon gift card in a tiny box? Its adorable and the recipient loved it.
5.0,Cute bear with value!:),"Nice deal, thx Amazon!"
5.0,GOT FOR MY FRIEND'S BIRTHDAY IN JULY 2022-SHE LOVED IT!!,"My friend and her husband's favorite pizza place IS PIZZA HUT, so this was perfect for her. She's frugal as heck so will use it ""just for them,"" she told me!!"
5.0,Excelente,Deposito rapido
5.0,Muy buena,Recarga rapido
5.0,Great gift!,This was a gift that was well received!!
5.0,Nice,This was a gift for gal at spa- she loves her Starbucks
5.0,Five Stars,Gave it to a co-worker as a gift- just what she wanted!
5.0,Almost Perfect,"With Amazon offering virtually everything, Amazon Gift Cards are so great & convenient. The only thing that would them 100% perfect is if we could use our Amazon Gift Card Balance to buy Amazon Gift Cards to give as gifts to friends & family."
5.0,Five Stars,"I start everyday with coffee. Home made, DD, Starbucks. It honestly doesnt matter I just need caffeine!"
5.0,I mean it Subway come on Subway is awesome.,Eat Fresh! I mean it Subway come on Subway is awesome.
5.0,cases are lovely and no extra cost!,The gift BOXES are free and classy!
5.0,Good,Recommend
5.0,Five Stars,Great last minute gift!
5.0,It worked,Not much to go wrong her
5.0,Worked perfectly,"I don’t really remember why we bought this so-called reload, but it certainly worked just fine on our Amazon account."
5.0,Useful gift card,Nice to have shipped with Prime and no charge.
5.0,yum,yum
5.0,Great thing for Amazon to offer!,"I give these to my kids all the time! They’re old enough to buy their own things, but it’s always nice to have someone else buy lunch!"
5.0,Five Stars,these are always a hit!
5.0,Five Stars,This is a great gift idea for the person who LOVES Amazon!
5.0,Yay! Gift Cards!,"Its a gift card, you can't really go wrong. Amazon makes it easy to redeem and keep up with!"
5.0,Great buy when on sale,Got for 40$
5.0,Perfect for dividing up ! Used for teachers gifts,"Love having these on hand !  Perfect for spouting up and putting in cards, baskets when I need a quick gift ! Teachers love coffee and it’s always nice to let them know how appreciated they are !"
5.0,Five Stars,good way of shopping
5.0,Perfect For The Mailman,Great gift for the mailman!
5.0,Best Gift Ever,Can not go wrong with an Amazon gift card for any occasion. I love these things!
5.0,Free money!,Why wouldn’t you use this???
5.0,That 2% incentive adds up!,"Super simple to link with checking account, % back applied immediately. I like free money!"
5.0,Great Gift,My kids and grandkids always love Amazon gift cards. This one was for my daughter for her birthday.
5.0,Christmas Present,for my granddaughter. She loves Amazon gift cards.
5.0,For Granddaughter,I purchased this for my Granddaughters birthday. She always loves Amazon gift cards.
5.0,Can't Go Wrong,Can't go wrong with these gift cards since the receiver can choose where to use them. Big hit!
5.0,Very nice!,"It's so sweet to be able to give an Amazon gift card in a cute little box like this. I think it feels nicer than handing someone a envelope. And this way, the recipient has something to open..... Everyone likes opening a surprise. And what could be better than finding an Amazon gift card inside, lol! This truly is the perfect gift!!!"
5.0,Love it,"Looks nice and love the simple little black box. Arrived quick too; in 36 hours or so. I love giving Amazon gift cards. It's so much nicer to be able to hand someone a little gift box over an envelope, anyday."
5.0,So Cute!!!,"Absolutely adorable box....  what a fun way to give a gift card in a way that also allows the recipient feels like they ""opened"" a gift too. Love it!!!"
5.0,Love it!!!,"I love giving Amazon gift cards to my kid's teacher's at Xmas and the end of the school year. I really appreciate that Amazon sends along this adorably manly box. I like being able to hand them something wrapped rather than just a card. It somehow feels more personal. And then they get the joy of opening a wrapped gift, which everyone loves that feeling.  I can't recommend Amazon's gift card boxes enough!!!!"
5.0,Very nice,"I love giving gift cards as holiday and end of year gifts to my children's teachers; but I feel awkward handing them a gift card in a card. It feels nice to hand them a pretty wrapped box, even if that box is tiny. It feels more like I am giving a present that way. And they get the ""joy"" of getting to open something, which everyone loves that feeling.  It's a cute, non xmas themed gift box without looking cheesy. I hope Amazon keeps this one around for a while."
5.0,Quick shipping,The perfect small gift!!! Who wouldn't want an Amazon gift card. Seriously?
5.0,Really cute,Love Amazon's holiday gift card boxes.... Each year they get cuter and cuter!!!  It's nice that the recipient has something physical to open besides just a plastic gift card inside a Xmas card. Excellent teacher presents!!!
5.0,Very cute display,"Really charming way to present the not so exciting gift card.  The tin is just darling, great for res-use."
5.0,uhh..,didn't know I could rate this.....whatever this is.
5.0,Easy and great gift!!!,"Bought these recently for my friend's birthday. She LOVES the movies and was thrilled to receive these. Great for not only admission, but snack bar too!!!!!!  Works for me!!!!"
5.0,Easy,"Easy to use, available immediately"
5.0,Makes a Gift Card Look as Great as Any Other Gift.,It was actually fun giving a gift card. This packaging made the gift extra special.
5.0,AMAZING TECHNOLOGY!,Not really. It's a gift card. I add money. I spend money. I can reload it. Rinse - repeat.
5.0,Great Gift,All was fantastic!!
5.0,Great Purchase,I bought this gift card during prime day.  Great value.  Came in very handy and will definitely buy more.
5.0,As described no issues,Item arrived as described now issues.
5.0,Gift card,Great little pop up box.
5.0,Gift card,Gift
5.0,Gift card on time,Versatile gift
1.0,One of the worst.,"I am thoroughly disappointed and frustrated with this card. I use GCs all the time. This issuing back/company sucks. I can’t make any purchases with this card! Okay, let me be more specific, the purchases I have attempted to make have all been declined. How?! I registered the card, followed every step to the T! It’s baffling. I will never purchase this stupid ass GC again. If I could, I would return it."
5.0,What’s not to like?,It’s a gift card so what’s not to like?
5.0,"Late birthday, not with Amazon!","Great to have when you need a gift! Everyone will be excited to receive a Amazon gift card! Fast service, that is great!"
5.0,How can you go wrong with a Visa Gift Card?,"Not sure why anyone needs to read a gift card review, but here you go. Oh, this Visa Gift Card is awesome. It came attached to the perfect weight cardstock with nice printing. The card activated and worked perfectly to buy &#34;stuff.&#34; You can't go wrong with a Visa Gift Card (unless you try to use it at an establishment that only accepts cash)."
5.0,Received package,It worked right out of the box.
5.0,Five Stars,Great gift!
5.0,Gift,Easily used anywhere.
5.0,Gift,Easily used anywhere.
5.0,Yes,Great buy
5.0,Great gift idea,Great gift idea. Well it’s what I want as a gift anyway so I can buy stuff off my list
4.0,why?!,Great way to reload balance onto your account from local store. But all those stores also offer amazon gift cards so i dont know what is amazon trying to achieve with this *shrugs*
5.0,Great multipurpose gift!,Came as pictured. Perfect gift for any book lover who frequents Amazon!
5.0,Easy,Easy process.
5.0,Great gift!,Loved the gift box included. Shipped quickly. Great gift!
5.0,Easy to do.,Great option when given a credit card type gift card. Transfer it here and use on Amazon.
5.0,Convenient,I like that I can buy gift cards online. I had no trouble using this card in the store.
5.0,Awesome,Awesome
5.0,"Perfect gift for everyone. Packaging means ""no wrapping necessary""","I bought this as a Christmas gift. It arrived quickly, and the snowman tin was perfect for gift giving. It could be given as a gift with no wrapping if necessary, and there was a ribbon hook on the back, so my recipient can use it as an ornament next year."
5.0,Well it worked,I was able to reload my balance from gift cards received over the holidays. Not much more to say about it than that.
4.0,Works as expected,"Not much to say, I paid for it, the balance was recharged. Not much else to it."
5.0,"Clever, robust little package","The box is great - my little sister now stores all her gift cards in it. If I purchase more amazon gift cards in the future, I will probably get the same one."
5.0,Review,They were the perfect gift
5.0,Perfect for Weddings and special occasions.,This box is very unique! I purchased it for my Nephew's wedding. They LOVED the beautiful box! So many compliments It is nice to give a gift card that isn't just the same old thing.
5.0,Handy,I used this to put some money on my account for my son to use.  It was easy to do and I like that I could control the amount of money he could spend.
5.0,Amazon Balance reload,"I reloaded my account from my bank credit card, very easy, no issues, took only a few minutes"
5.0,Saved me a trip,Gift card arrived on time; loved the emoji gift card holder.
5.0,Tin is reusable by kids who love cupcakes,"I recently sent two of these as birthday gifts and the Mom got the loaded gift cards with instructions to let the kids have the tins since I could not bring them edible cupcakes.  From purchases in the past, I was aware that they are pretty thin in depth as well as the metal gauge and I knew that there is a clear plastic rectangle on the rear which provides Amazon to identify the code on the card inside of the tin.  The kids didn't mind that and the Mom didn't mind sharing her gift.  I suspect that the funds embedded in the cards eventually went to buying items for the kids anyway because she's a sharing person.  This is one of my favorite physical gift cards from Amazon which I enjoy sending."
5.0,It's a gift card inside a metal box with a plastic insert,"The gift card works.  You apply it to your account and have the funds to cover a purchase up to the dollar amount of the value applied to the card.  You cannot add to the card, once it's applied to the account, the card is useless as a form of tender.  I personally have a tool to make guitar picks from cards like these, so I'll make a couple of guitar picks from this one and give them to the kids.  One of the kids loves to play his guitar.  The tin in which it arrives has a cutout with a plastic insert so that the warehouse workers know which card to select to fulfill the order, and that does not hinder my using the tin for other things.  I actually like to see what's inside the box, just like the Amazon staff I guess."
5.0,Physical card is sometimes preferred,"It's a gift card in a small box with an orange ribbon and bow on the box top. You can send an Amazon gift card by email or hand deliver one like this. They all work the same, money which is applied to a person's Amazon account.  Only problem I have with gift cards is that purchases don't register as &#34;verified purchase&#34; when the gift card balance is used for payment and you leave a review."
4.0,Pay attention if you purchase with an incentive,"I like having a gift card balance from which payment is made for small ticket items and tend to uncheck the box for applying a gift card balance for purchases where a credit card payment is more beneficial, as when an extended warranty is offered.  Since this has no expiration date, I find that it allows me to save time when balancing my credit card statements at the end of the month, particularly since I can check my gift card balance and see exactly when and for what amount the payment was made.  When Amazon offers an incentive to reload is when I typically make my purchases, and although it has not applied the additional amount instantaneously, I have found that after a phone call, it miraculously tends to appear.  For this reason, I have to deduct a star from my review."
1.0,Sad!,Not sure what is going on?  I went to use my new 50.00 gift card today and all that was on it was 2.00????  What they heck?????
5.0,Awesome,Good gift
4.0,Four Stars,quick and simple
4.0,Reload is ok.,Reload
5.0,Gift card,Starbucks gift card is one of those gift card for people are coffee and tea lovers like myself.
1.0,Not happy,Not able you use all of my money
5.0,Best Gift for Dog Lover’s,I’m so glad I gave this for the dog lover’s in my family.  Their dog got a spa day on me and thoroughly enjoyed it.
5.0,I always buy white elephant gifts that I personally wouldn't mind ending up with so I would have been happy to come back with th,I bought this for a white elephant gift exchange and it was one of the most stolen gifts.  I always buy white elephant gifts that I personally wouldn't mind ending up with so I would have been happy to come back with this but everyone else also wanted it.  Can't go wrong with a Starbucks gift card.
5.0,Great thing,Soon in the tip season and these cards are great gift!
5.0,Cute box,Very nice box
5.0,So great!,The box is beautiful!
5.0,Five Stars,So great!
5.0,Thank you,This was a gift
5.0,Thank you,This was a gift.
1.0,Issues,"Tried to reload from American Express gift cards, and a total of $78 disappeared."
3.0,Grand Kids love them,Lost in the mail twice but Amazon made them good
5.0,great gift for my family and myself,great gift for my family and myself! I got one last year and got 2 more this year. The bears are sitting under my Christmas tree.
5.0,Great holiday gift,Great holiday gift! The bear sits under our Christmas tree and it looks nice. Enjoyed the gift card as well.
5.0,Five Stars,very easy to use
5.0,Five Stars,I gave them to a friend as a baby shower gift. She loves it very much.
5.0,and a good gift for everyone,"very fast shipping, and a good gift for everyone."
5.0,Five Stars,love the design and perfect gift for the holidays.
5.0,Five Stars,my favorite gift item for various occasions.
5.0,Work for me.,Easy to used.
5.0,Very good gift..,I love how convenient this was..
5.0,Great product,Good item
5.0,Good deal.,"Got this for myself due to a promotion, & no complaints at all."
5.0,massively convenient,"It is massively convenient to be able to buy Amazon gift cards in any denomination.  Whenever there are a few bucks left on a Visa gift card (or similar), I just add that amount to the Amazon gift card balance.  Perfect solution, and saving the brains of the poor cashiers in retail stores that can't even count back change, let alone deal with multiple payment methods for a purchase."
3.0,I think a monthly automatic reload would be better for me,I think a monthly automatic reload would be better for me. Wish I could be approved for the Amazon Prime credit card....with 5% towards purchase.
5.0,Great gift idea,I purchased the cards for gifts.
5.0,You can't go wrong with this Gift Card!,You just cannot go wrong with this Amazon gift card! Truly applicable on whatever your heart's content of buying in Amazon and it comes in whatever denominations you want put in.
5.0,Always the best gift,"My son lives in Nashville, TN - they love this place, so this was our way to have them have a nice dinner out."
5.0,Five Stars,the best
5.0,Gift card,Cant go wrong with Amazon gift cards
5.0,Perfect gift,"I always gift Amazon gift card, it's the perfect gift for anyone!!!"
5.0,Gifting this was a hit,Gifted to a grad & got a written thank you note in the mail with a graduation photo! I’d say that’s a hit.
5.0,What a great idea,Who doesn't like to save $10.00? It was really easy. Load $100.00 on their card and check out with $10.00 off. I recommend it to anyone who wants to save some money.
5.0,Five Stars,These are so useful for holidays and birthdays.
5.0,Love them,I love the gift cards so easy to use and give as gifts
5.0,Love these,Love the gift cards
5.0,good,good
5.0,Gift card,Nice package
5.0,Perfect,All  the gift cards  are super! A great package for no extra  cost!
5.0,Came early,My 17 year old grandson.thought this was the perfect gift.He loved the packaging
5.0,Easy to give a gift.,"Easy to give a gift, to someone close or very far away. Love it, thanks Amazon."
5.0,Five Stars,It's a giftcard
5.0,i provided baby sitting service and they had a good time. i will order again,"it was a present to my daughter and son-in-law, i provided baby sitting service and they had a good time. i will order again. thank you."
5.0,Great for giftcards,This is a great idea when you have a bunch of visa type giftcards left over with small amounts on them. I just load whatever amount the giftcard i have is for and then i can combine it will my others ones and use them all in one place.
5.0,Yes would recommend,Needed these for a Christmas present for my father-in-law you likes to eat there good deal got here fast would recommend for sure. And yes they do work I was with him when we went to eat
5.0,Could use,Good for gifting
5.0,Box is better,The premium box made it looks so good.
5.0,Good for gifting,Can't complain about it.
5.0,cute tin,"I bought the gift card as a Christmas present, and the tin helped elevate an otherwise boring gift"
5.0,Five Stars,Perfect!!
5.0,Amazon.com Gift Card Balance Reloadable,good convient way to keep money on hand.
5.0,Goos,Thanks
5.0,Want work at Barnes and noble Starbucks.,Works great at Starbucks.
5.0,Good food.,Made a great family night meal.
5.0,Its what it claims to be,"Shows up in one day, it was activated and usable the same day it arrived. This is a standard prepaid ""debit card"". Useable anywhere MasterCard is accepted."
5.0,Great for gifts,I send to my mom and she was able to use with out issues.
5.0,Great to send to my mom,She was able to use with no issues.
5.0,Gift,Recieved
5.0,Gift,No problems using it.
5.0,Easy.,Easy to reload and use.
5.0,Five Stars,Great packaging. Makes a good gift!
5.0,Love Amazon,Great deal love Amazon
5.0,Easy gift,Great gift quick delivery
5.0,Easiest thing ever,Great
5.0,Easy.,Easy to reload. Nice bonus
5.0,Easy to use,Easy to use.
5.0,Great packaging. Gift card matched the box,Great packaging.  Gift card matched the box.  Adorable!
5.0,Five Stars,I love loading my gift card via the computer.
5.0,Nice gift design,Looks nice and an upgrade from just handing a card
3.0,Kind of useless,Kind of difficult to use and check balance.  They really need an app for that.  Also the $6 charge is annoying
